subject,question,option1,option2,option3,option4,answer
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Wich is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, How many pairs of ribs are there in a normal human body?,10,12,14,16,12
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, Which container is completely impermeable to air, moisture, and microbes?",Hermetic container,Aseptically sealed container,Tight container,Well-closed container,Hermetic container
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
